mouse,month,treatment,hotspots,ln2volume
#282,1,UV,0,13.59292503
#317,1,UV,0,13.59534633
#003,1,UV,0,13.59615253
#970,1,UV,0,13.59695828
#970,1,UV,0,13.59776358
#970,1,UV,0,13.59856843
#003,1,UV,0,13.59937284
#282,1,UV,0,13.59937284
#006,1,UV,0,13.6009803
#006,1,UV,0,13.60178335
#303,1,UV,0,13.60258597
#006,1,UV,0,13.60338813
#022,1,UV,0,13.60338813
#009,1,UV,0,13.60418985
#009,1,UV,0,13.60579196
#282,1,UV,0,13.60579196
#281,1,UV,0,13.60659234
#003,1,UV,0,13.60899084
#303,1,UV,0,13.60978945
#009,1,UV,0,13.61297949
#317,1,UV,0,13.61297949
#009,1,UV,0,13.6153674
#974,1,UV,0,13.61616249
#258,1,UV,0,13.61695715
#282,1,UV,0,13.61854515
#974,1,UV,0,13.61854515
#303,1,UV,0,13.6201314
#003,1,UV,0,13.62171591
#009,1,UV,0,13.62329868
#131,1,UV,0,13.62329868
#282,1,UV,0,13.62566958
#003,1,UV,0,13.62645902
#003,1,UV,0,13.62803659
#282,1,UV,0,13.62803659
#970,1,UV,0,13.62961245
#003,1,UV,0,13.63039973
#282,1,UV,0,13.63354457
#003,1,UV,0,13.63432971
#281,1,UV,0,13.63511443
#289,1,UV,0,13.63589871
#009,1,UV,0,13.63668257
#289,1,UV,0,13.63668257
#974,1,UV,0,13.63746601
#131,1,UV,0,13.63824902
#009,1,UV,0,13.6390316
#974,1,UV,0,13.6421577
#006,1,UV,0,13.64371822
#022,1,UV,0,13.64449784
#974,1,UV,0,13.64761213
#003,1,UV,0,13.64838966
#131,1,UV,0,13.64994345
#282,1,UV,0,13.65304602
#282,1,UV,0,13.65304602
#282,1,UV,0,13.65304602
#289,1,UV,0,13.65459481
#022,1,UV,0,13.65536858
#970,1,UV,0,13.65536858
#006,1,UV,0,13.65614193
#131,1,UV,0,13.65614193
#303,1,UV,0,13.65614193
#258,1,UV,0,13.65691487
#263,1,UV,0,13.6576874
#131,1,UV,0,13.65923122
#303,1,UV,0,13.6600025
#303,1,UV,0,13.6600025
#131,1,UV,0,13.66077338
#009,1,UV,0,13.66154385
#258,1,UV,0,13.66154385
#317,1,UV,0,13.6623139
