,mouse_id,month,treatment,structure_volume,distribution_volume
296,#003,m1,UV,15.23257463,0.008834898
297,#003,m1,UV,15.30314912,0.008834898
298,#003,m1,UV,17.61785061,0.008834898
299,#003,m1,UV,16.88975647,0.008834898
300,#003,m1,UV,17.02761862,0.008834898
301,#003,m1,UV,15.04691223,0.008834898
302,#003,m1,UV,16.43831674,0.008834898
303,#003,m1,UV,17.00495546,0.008834898
304,#003,m1,UV,14.93283486,0.008834898
305,#003,m1,UV,15.42997548,0.008922084
306,#003,m1,UV,15.25137642,0.008922084
307,#003,m1,UV,15.30438294,0.008922084
308,#003,m1,UV,14.51406961,0.009125519
309,#003,m1,UV,14.2575047,0.009125519
310,#003,m1,UV,14.72925312,0.009125519
311,#003,m1,UV,13.2050939,0.009125519
312,#003,m1,UV,13.92033559,0.009125519
313,#003,m1,UV,14.85750685,0.009125519
314,#003,m1,UV,13.1997996,0.009125519
315,#003,m1,UV,16.00624497,0.00927083
316,#003,m1,UV,13.63432971,0.00927083
317,#003,m1,UV,18.60200913,0.00927083
318,#003,m1,UV,17.90504572,0.00927083
319,#003,m1,UV,15.78970405,0.00927083
320,#003,m1,UV,18.82979899,0.009328955
321,#003,m1,UV,15.76571928,0.009328955
322,#003,m1,UV,17.89205611,0.009387079
323,#003,m1,UV,21.04959562,0.009387079
324,#003,m1,UV,17.47521206,0.009619576
325,#003,m1,UV,17.43572934,0.009619576
326,#003,m1,UV,17.51668005,0.009619576
327,#003,m1,UV,18.30453709,0.009619576
328,#003,m1,UV,17.2526553,0.009619576
329,#003,m1,UV,15.95295734,0.009619576
330,#003,m1,UV,17.39374523,0.009619576
331,#003,m1,UV,19.07103446,0.009619576
332,#003,m1,UV,17.4323475,0.009852074
333,#003,m1,UV,16.99589648,0.009852074
334,#003,m1,UV,17.1663305,0.009852074
335,#003,m1,UV,20.13814248,0.009852074
336,#003,m1,UV,17.43764221,0.009852074
337,#003,m1,UV,15.49755206,0.009852074
338,#003,m1,UV,13.72557371,0.009852074
339,#003,m1,UV,17.75366602,0.009852074
340,#003,m1,UV,18.53453296,0.00993926
341,#003,m1,UV,18.13286535,0.00993926
342,#003,m1,UV,19.77117303,0.00993926
343,#003,m1,UV,17.51193513,0.010055509
344,#003,m1,UV,13.54278931,0.010055509
345,#003,m1,UV,14.8632112,0.010055509
346,#003,m1,UV,17.14782321,0.010055509
347,#003,m1,UV,16.08689475,0.010258944
348,#003,m1,UV,15.93027972,0.010258944
349,#003,m1,UV,16.55755857,0.010258944
350,#003,m1,UV,16.34787236,0.010258944
351,#003,m1,UV,16.33138424,0.010258944
352,#003,m1,UV,18.25810973,0.010258944
353,#003,m1,UV,13.62171591,0.010258944
354,#003,m1,UV,14.67724837,0.010578628
355,#003,m1,UV,15.4023556,0.010578628
356,#003,m1,UV,16.42181311,0.010578628
357,#003,m1,UV,16.95962905,0.010578628
358,#003,m1,UV,13.77838319,0.010578628
359,#003,m1,UV,13.20615043,0.010578628
360,#003,m1,UV,14.97280302,0.010578628
361,#003,m1,UV,14.36642054,0.010578628
362,#003,m1,UV,17.08495762,0.010578628
363,#003,m1,UV,13.11796131,0.010578628
364,#003,m1,UV,13.62645902,0.010578628
365,#003,m1,UV,15.78688215,0.010811125
366,#003,m1,UV,14.48127967,0.010811125
367,#003,m1,UV,16.17600147,0.010811125
368,#003,m1,UV,16.97892024,0.010811125
369,#003,m1,UV,18.74230803,0.010811125
370,#003,m1,UV,15.53944004,0.010811125
371,#003,m1,UV,16.56488689,0.010811125
372,#003,m1,UV,14.30216132,0.010811125
373,#003,m1,UV,13.81069416,0.01101456
374,#003,m1,UV,14.3061085,0.01101456
375,#003,m1,UV,13.15673088,0.01101456
376,#003,m1,UV,14.35693844,0.01101456
377,#003,m1,UV,14.34307776,0.01101456
378,#003,m1,UV,16.20957883,0.01101456
379,#003,m1,UV,15.0571952,0.01101456
380,#003,m1,UV,17.75795016,0.011188933
381,#003,m1,UV,15.05279719,0.011188933
382,#003,m1,UV,13.55610915,0.011188933
383,#003,m1,UV,15.41634576,0.011188933
384,#003,m1,UV,13.84907691,0.011188933
385,#003,m1,UV,14.95908078,0.011188933
386,#003,m1,UV,13.96845099,0.011334244
387,#003,m1,UV,14.48476655,0.011334244
388,#003,m1,UV,13.60899084,0.011334244
389,#003,m1,UV,14.95500138,0.011334244
390,#003,m1,UV,13.64838966,0.011334244
391,#003,m1,UV,13.90740234,0.011537679
392,#003,m1,UV,13.59615253,0.011537679
393,#003,m1,UV,13.01320356,0.011537679
394,#003,m1,UV,13.98639596,0.011537679
395,#003,m1,UV,13.30413626,0.011537679
396,#003,m1,UV,17.55372479,0.011537679
397,#003,m1,UV,21.05199861,0.011537679
398,#003,m1,UV,16.83394866,0.011653928
399,#003,m1,UV,17.25169625,0.011653928
400,#003,m1,UV,17.86463377,0.011653928
401,#003,m1,UV,17.02072938,0.011653928
402,#003,m1,UV,20.01805281,0.011915487
403,#003,m1,UV,18.96240636,0.011915487
404,#003,m1,UV,19.60582949,0.011915487
405,#003,m1,UV,16.96392965,0.011915487
406,#003,m1,UV,14.28276261,0.011915487
407,#003,m1,UV,17.39136689,0.011915487
408,#003,m1,UV,17.57473678,0.011915487
409,#003,m1,UV,16.68929342,0.011915487
410,#003,m1,UV,18.85872511,0.011915487
411,#003,m1,UV,17.66572606,0.01208986
412,#003,m1,UV,16.35467726,0.01208986
413,#003,m1,UV,15.68541584,0.01208986
414,#003,m1,UV,15.82142057,0.01208986
415,#003,m1,UV,14.39866348,0.01208986
416,#003,m1,UV,16.91428756,0.01208986
417,#003,m1,UV,17.28582652,0.012264233
418,#003,m1,UV,16.43358843,0.012264233
419,#003,m1,UV,17.47054838,0.012264233
420,#003,m1,UV,13.94964931,0.012264233
421,#003,m1,UV,16.33706201,0.012264233
422,#003,m1,UV,15.95970736,0.012264233
