,mouse_id,month,treatment,structure_volume
12584,#974,m1,No UV,13.34882937
5638,#258,m1,No UV,13.34978575
10775,#317,m1,No UV,13.3507415
2909,#009,m1,No UV,13.35169661
11449,#970,m1,No UV,13.35169661
9826,#303,m1,No UV,13.35360493
9999,#303,m1,No UV,13.35551074
6637,#263,m1,No UV,13.3564627
2943,#009,m1,No UV,13.36026427
2604,#009,m1,No UV,13.3612131
3762,#022,m1,No UV,13.3612131
6764,#263,m1,No UV,13.3612131
11378,#970,m1,No UV,13.3621613
8873,#289,m1,No UV,13.36405585
12310,#974,m1,No UV,13.36500219
6518,#263,m1,No UV,13.36689301
7201,#281,m1,No UV,13.36689301
8809,#289,m1,No UV,13.36689301
6502,#263,m1,No UV,13.37066723
2955,#009,m1,No UV,13.37255064
3704,#022,m1,No UV,13.37349143
12184,#974,m1,No UV,13.37349143
12375,#974,m1,No UV,13.37349143
8177,#282,m1,No UV,13.3744316
12300,#974,m1,No UV,13.37537116
8107,#282,m1,No UV,13.37631011
9126,#291,m1,No UV,13.37631011
12275,#974,m1,No UV,13.37631011
5740,#258,m1,No UV,13.37818618
6650,#263,m1,No UV,13.38099571
993,#003,m1,No UV,13.38193101
7958,#282,m1,No UV,13.3828657
5699,#258,m1,No UV,13.38379978
6217,#263,m1,No UV,13.38659842
5622,#258,m1,No UV,13.38846116
3027,#009,m1,No UV,13.3903215
5497,#258,m1,No UV,13.3903215
8098,#282,m1,No UV,13.39310753
11630,#970,m1,No UV,13.39310753
786,#003,m1,No UV,13.39496189
5239,#258,m1,No UV,13.39588818
6602,#263,m1,No UV,13.39588818
963,#003,m1,No UV,13.3995874
1726,#006,m1,No UV,13.3995874
3028,#009,m1,No UV,13.40143346
11552,#970,m1,No UV,13.40419813
2992,#009,m1,No UV,13.40511851
10505,#317,m1,No UV,13.4060383
7245,#281,m1,No UV,13.4069575
4236,#131,m1,No UV,13.40787613
4024,#131,m1,No UV,13.40879416
6376,#263,m1,No UV,13.40971162
586,#003,m1,No UV,13.41154477
5380,#258,m1,No UV,13.41154477
1718,#006,m1,No UV,13.41246048
10400,#317,m1,No UV,13.41337561
12242,#974,m1,No UV,13.41429015
12674,#974,m1,No UV,13.41429015
12737,#974,m1,No UV,13.41429015
10781,#317,m1,No UV,13.41520412
8681,#289,m1,No UV,13.41703031
8806,#289,m1,No UV,13.41703031
5797,#258,m1,No UV,13.41794255
4022,#131,m1,No UV,13.41976528
8009,#282,m1,No UV,13.41976528
3144,#009,m1,No UV,13.42158572
5437,#258,m1,No UV,13.42158572
9953,#303,m1,No UV,13.42249507
11695,#970,m1,No UV,13.42340386
1639,#006,m1,No UV,13.42431207
5750,#258,m1,No UV,13.42431207
11791,#970,m1,No UV,13.42612678
2772,#009,m1,No UV,13.42793921
5562,#258,m1,No UV,13.42793921
6441,#263,m1,No UV,13.42793921
10594,#317,m1,No UV,13.42793921
10503,#317,m1,No UV,13.43155726
11727,#970,m1,No UV,13.43155726
4224,#131,m1,No UV,13.43336288
1674,#006,m1,No UV,13.43516625
4095,#131,m1,No UV,13.43516625
