mouse_id,month,treatment,structure_volume
#970,m4,UV,13.30117283
#003,m1,UV,13.30216131
#009,m2,UV,13.30216131
#009,m4,UV,13.30314912
#289,m2,UV,13.30314912
#970,m1,UV,13.30314912
#003,m1,UV,13.30413626
#003,m4,UV,13.30413626
#003,m4,UV,13.30512272
#281,m1,UV,13.30512272
#282,m2,UV,13.30512272
#970,m3,UV,13.30512272
#974,m1,UV,13.30512272
#009,m2,UV,13.3061085
#131,m3,UV,13.3061085
#022,m1,UV,13.30709361
#263,m1,UV,13.30807805
#282,m1,UV,13.30807805
#003,m4,UV,13.30906182
#006,m4,UV,13.31004491
#303,m1,UV,13.31004491
#970,m4,UV,13.31004491
#003,m6,UV,13.31102734
#282,m1,UV,13.31102734
#009,m2,UV,13.3120091
#022,m4,UV,13.3120091
#258,m2,UV,13.3120091
#003,m5,UV,13.31299019
#009,m3,UV,13.31299019
#006,m4,UV,13.31397062
#003,m1,UV,13.31495038
#009,m3,UV,13.31495038
#009,m2,UV,13.31495038
#970,m3,UV,13.31495038
#009,m4,UV,13.31592947
#970,m3,UV,13.31592947
#289,m1,UV,13.3169079
#003,m6,UV,13.31886277
#131,m1,UV,13.31886277
#282,m1,UV,13.31886277
#291,m3,UV,13.31886277
#009,m3,UV,13.31983921
#974,m3,UV,13.31983921
#022,m2,UV,13.320815
#263,m1,UV,13.320815
#009,m1,UV,13.32179012
#317,m2,UV,13.32179012
#263,m1,UV,13.32276459
#282,m1,UV,13.32276459
#006,m1,UV,13.32373839
#006,m5,UV,13.32373839
#131,m2,UV,13.32373839
#970,m1,UV,13.32373839
#003,m6,UV,13.32568404
#263,m2,UV,13.32568404
#289,m3,UV,13.32568404
#006,m2,UV,13.32665588
#006,m6,UV,13.32665588
#009,m1,UV,13.32665588
#009,m3,UV,13.32665588
#006,m3,UV,13.32762706
#009,m1,UV,13.32762706
#281,m2,UV,13.32762706
#003,m3,UV,13.32859759
#006,m6,UV,13.32956747
#303,m1,UV,13.32956747
#022,m1,UV,13.3305367
#263,m3,UV,13.3305367
#006,m2,UV,13.33150528
#009,m3,UV,13.33150528
#009,m2,UV,13.33150528
#289,m1,UV,13.3324732
#003,m5,UV,13.33344048
#022,m3,UV,13.33440711
#970,m4,UV,13.33440711
#970,m4,UV,13.33440711
#317,m1,UV,13.33537309
#009,m1,UV,13.33633843
#974,m1,UV,13.33633843
#022,m1,UV,13.33730312
#006,m1,UV,13.33826717
#022,m5,UV,13.33826717
#263,m2,UV,13.33826717
#289,m3,UV,13.33826717
#003,m3,UV,13.33923057
#281,m3,UV,13.33923057
#003,m2,UV,13.34019333
#003,m4,UV,13.34019333
#289,m1,UV,13.34019333
#022,m6,UV,13.34115545
#281,m1,UV,13.34115545
#282,m1,UV,13.34115545
#317,m2,UV,13.34115545
#970,m1,UV,13.34115545
#003,m6,UV,13.34211692
#974,m3,UV,13.34211692
#006,m2,UV,13.34307776
#970,m6,UV,13.34307776
#258,m2,UV,13.34403796
#970,m4,UV,13.34403796
#974,m1,UV,13.34403796
#970,m2,UV,13.34499751
#003,m2,UV,13.34595643
#258,m1,UV,13.34595643
#317,m2,UV,13.34595643
#289,m1,UV,13.34691472
#003,m6,UV,13.34787236
#006,m1,UV,13.34787236
#009,m2,UV,13.34787236
#022,m6,UV,13.34787236
#131,m2,UV,13.34787236
#006,m1,UV,13.34882937
#022,m2,UV,13.34882937
#022,m4,UV,13.34882937
#282,m1,UV,13.3507415
#003,m6,UV,13.35169661
#022,m4,UV,13.35169661
#974,m1,UV,13.35169661
#317,m3,UV,13.35265109
#006,m1,UV,13.35360493
#022,m5,UV,13.35360493
#970,m2,UV,13.35360493
#003,m2,UV,13.35455815
#131,m3,UV,13.35455815
#009,m1,UV,13.35551074
#009,m2,UV,13.35551074
#303,m1,UV,13.35551074
#258,m2,UV,13.3564627
#970,m4,UV,13.35741403
#003,m6,UV,13.35836474
#258,m1,UV,13.35836474
#022,m6,UV,13.35931482
#003,m6,UV,13.36026427
#282,m2,UV,13.36026427
#022,m1,UV,13.3612131
