mouse_id,month,treatment,volume,density
#003,m1,No UV,17.61273052,0.74297464
#003,m1,No UV,17.61914019,0.743385881
#003,m1,No UV,17.67758167,0.750376971
#003,m1,No UV,17.68849039,0.751610692
#003,m1,No UV,17.7051675,0.753666895
#003,m1,No UV,17.70768749,0.753803975
#003,m1,No UV,17.72303866,0.755723098
#003,m1,No UV,17.72819625,0.756271419
#003,m1,No UV,17.74769212,0.758053461
#003,m1,No UV,17.75330467,0.759013023
#003,m1,No UV,17.80098047,0.76435915
#003,m1,No UV,17.82426179,0.766552433
#003,m1,No UV,17.85910298,0.770253598
#003,m1,No UV,17.87530008,0.77148732
#003,m1,No UV,17.87870002,0.772035641
#003,m1,No UV,17.88349605,0.772995202
#003,m1,No UV,17.94925499,0.780260452
#003,m1,No UV,17.96638697,0.781631254
#003,m1,No UV,17.9725702,0.782864976
#003,m1,No UV,17.98996599,0.784509938
#003,m1,No UV,18.00916108,0.787388622
#003,m1,No UV,18.02410323,0.789581905
#003,m1,No UV,18.05400798,0.79314599
#003,m1,No UV,18.08664379,0.796847156
#003,m1,No UV,18.09707562,0.797532557
#003,m1,No UV,18.10087944,0.798217958
#003,m1,No UV,18.12830926,0.800822481
#003,m1,No UV,18.14283148,0.802604524
#003,m1,No UV,18.14816683,0.803289925
#003,m1,No UV,18.15032976,0.803564085
#003,m1,No UV,18.15956294,0.804523646
#003,m1,No UV,18.22721779,0.812474297
#003,m1,No UV,18.22825824,0.812748458
#003,m1,No UV,18.22955777,0.812885538
#003,m1,No UV,18.23451766,0.813433859
#003,m1,No UV,18.27110421,0.817135024
#003,m1,No UV,18.28797986,0.819191227
#003,m1,No UV,18.37063778,0.826730637
#003,m1,No UV,18.44269347,0.833858807
#003,m1,No UV,18.52217846,0.840712817
#003,m1,No UV,18.56326445,0.844139822
#003,m1,No UV,18.56673888,0.844413982
#003,m1,No UV,18.57271586,0.845099383
#003,m1,No UV,18.67801009,0.855243317
#003,m1,No UV,18.70502737,0.856477039
#003,m1,No UV,18.78427581,0.863605209
#003,m1,No UV,18.79366303,0.86442769
#003,m1,No UV,18.79416812,0.864701851
#003,m1,No UV,18.85023895,0.867717615
#003,m1,No UV,18.85224391,0.867854695
#003,m1,No UV,18.86645178,0.868403016
#003,m1,No UV,18.90754443,0.872104181
#003,m1,No UV,18.92559688,0.873337903
#003,m1,No UV,18.94257465,0.873886223
#003,m1,No UV,18.98287487,0.876353667
#003,m1,No UV,18.99345072,0.877176148
#003,m1,No UV,19.036277,0.879917752
#003,m1,No UV,19.08247861,0.882248115
#003,m1,No UV,19.0947065,0.883618917
#003,m1,No UV,19.13875645,0.887183002
#003,m1,No UV,19.17867826,0.890610007
#003,m1,No UV,19.31110407,0.90020562
#003,m1,No UV,19.33306272,0.901713502
#003,m1,No UV,19.38330363,0.905140507
#003,m1,No UV,19.44491883,0.908704592
#003,m1,No UV,19.49712051,0.911446196
#003,m1,No UV,19.49712051,0.911446196
#003,m1,No UV,19.52658595,0.913091158
#003,m1,No UV,19.56229785,0.915147361
#003,m1,No UV,19.57814546,0.915695682
#003,m1,No UV,19.65303391,0.919122687
#003,m1,No UV,19.67021923,0.920356408
#003,m1,No UV,19.79308086,0.925976696
#003,m1,No UV,19.90097353,0.932282385
#003,m1,No UV,20.11618842,0.943248801
#003,m1,No UV,20.3495766,0.952570254
